#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	name2	_cdsStartStat	_cdsEndStat	_exonFrames	type	geneName	geneName2	geneType	description
chr4	9663690	9893246	XM_063983597.1	0	-	9664341	9711317	0	10	800,140,185,73,214,162,177,59,51,10,	0,27153,33377,36446,38280,41922,44744,47596,48728,229546,	LOC135088665	cmpl	cmpl	1,2,0,2,1,1,1,0,-1,-1,	protein_coding	135088665	XM_063983597.1	mRNA	glutamine synthetase 2 cytoplasmic-like
chr4	9799606	9820788	XM_063983593.1	0	-	9800143	9820518	0	4	845,139,504,474,	0,7185,10065,20708,	LOC135088661	cmpl	cmpl	1,0,0,0,	protein_coding	135088661	XM_063983593.1	mRNA	uncharacterized LOC135088661
chr4	9821252	9824750	XM_063983594.1	0	-	9821751	9824592	0	7	690,177,208,177,353,196,254,	0,1053,1562,2101,2385,2928,3244,	LOC135088662	cmpl	cmpl	1,1,0,0,1,0,0,	protein_coding	135088662	XM_063983594.1	mRNA	protein odr-4 homolog
chr4	9841026	9902735	XM_063983601.1	0	-	9841329	9902581	0	8	355,130,73,189,170,220,78,229,	0,1736,2072,3262,59484,60059,60993,61480,	LOC135088667	cmpl	cmpl	2,1,0,0,1,0,0,0,	protein_coding	135088667	XM_063983601.1	mRNA	nuclear migration protein nudC
chr4	9870161	9898936	XM_063983602.1	0	+	9870386	9898471	0	4	243,132,397,506,	0,26692,27520,28269,	LOC135088668	cmpl	cmpl	0,0,0,1,	protein_coding	135088668	XM_063983602.1	mRNA	uncharacterized LOC135088668
chr4	9893589	9894380	XR_010257202.1	0	+	9894380	9894380	0	2	540,163,	0,628,	LOC135088670	none	none	-1,-1,	lncRNA	135088670	XR_010257202.1	lnc_RNA	uncharacterized LOC135088670
chr4	9907362	9912788	XM_063964809.1	0	+	9907640	9911216	0	6	155,203,177,342,154,2135,	0,255,961,1390,3019,3291,	LOC135071063	cmpl	cmpl	-1,0,0,0,0,1,	protein_coding	135071063	XM_063964809.1	mRNA	longitudinals lacking protein, isoforms H/M/V-like
chr4	9928038	9956633	XM_063964810.1	0	+	9928287	9953413	0	5	451,101,72,120,3634,	0,4829,24035,24760,24961,	LOC135071064	cmpl	cmpl	0,1,0,0,0,	protein_coding	135071064	XM_063964810.1	mRNA	uncharacterized LOC135071064
chr4	9962531	10088266	XM_063964811.1	0	-	9963005	10082634	0	43	1258,145,112,87,166,188,158,138,180,109,195,174,113,155,115,187,225,201,183,132,280,149,133,201,51,78,115,57,51,184,208,205,106,183,134,165,83,131,119,185,148,112,258,	0,1460,1910,2106,2454,3583,4613,4850,5078,5333,5512,6495,8636,13711,18462,21107,28094,32470,33454,37683,38623,43846,82561,86052,98271,98752,102803,104284,104428,105049,107207,108663,109543,110335,110989,111800,112761,113215,113882,116031,119993,121248,125477,	LOC135071065	cmpl	cmpl	2,1,0,0,2,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,2,0,2,2,2,2,1,1,1,0,2,1,0,0,1,1,2,0,1,2,0,-1,-1,	protein_coding	135071065	XM_063964811.1	mRNA	protein still life, isoform SIF type 1
chr4	10108398	10122543	XM_063965275.1	0	-	10110656	10122231	0	5	2339,121,173,134,352,	0,2715,3699,6924,13793,	LOC135071498	cmpl	cmpl	0,2,0,1,0,	protein_coding	135071498	XM_063965275.1	mRNA	protein lin-28 homolog
