pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
bv	1	1	4764	0.1160566589924688	2615	371773	3203375	0
uv	1	1	4764	0.1127389081827759	2615	361145	3203375	0
bv	1	4764	9552	0.1198548682874615	2593	380710	3176425	0
uv	1	4764	9552	0.118928669809613	2593	377768	3176425	0
bv	1	9552	14297	0.1221302832073328	2605	389733	3191125	0
uv	1	9552	14297	0.1194425163539504	2605	381156	3191125	0
bv	1	14297	19018	0.1192565709886726	2598	379540	3182550	0
uv	1	14297	19018	0.1182652275690876	2598	376385	3182550	0
bv	1	19018	23694	0.1168685229892641	2629	376378	3220525	0
uv	1	19018	23694	0.1145092803192026	2629	368780	3220525	0
bv	1	23694	28407	0.1206533105796728	2619	387089	3208275	0
uv	1	23694	28407	0.1152778362203988	2619	369843	3208275	0
bv	1	28407	33146	0.1253752580986923	2639	405310	3232775	0
uv	1	28407	33146	0.1205595811647887	2639	389742	3232775	0
bv	1	33146	37800	0.1211943856539246	2671	396545	3271975	0
uv	1	33146	37800	0.1174880614919123	2671	384418	3271975	0
uv	1	37800	42376	0.1154377436367805	2670	377568	3270750	0
bv	1	37800	42376	0.1191433157532676	2670	389688	3270750	0
bv	1	42376	47099	0.116734693877551	2595	371085	3178875	0
uv	1	42376	47099	0.115389249341355	2595	366808	3178875	0
bv	1	47099	51865	0.1182586699561232	2614	378682	3202150	0
uv	1	47099	51865	0.1158577830520119	2614	370994	3202150	0
bv	1	51865	56679	0.1223003848666346	2593	388478	3176425	0
uv	1	51865	56679	0.1217683401937713	2593	386788	3176425	0
uv	1	56679	61493	0.1223049034642758	2595	388792	3178875	0
bv	1	56679	61493	0.1233162675474814	2595	392007	3178875	0
uv	1	61493	66248	0.1240292598022689	2603	395489	3188675	0
bv	1	61493	66248	0.1263430735336777	2603	402867	3188675	0
bv	1	66248	70938	0.1233057213815231	2646	399677	3241350	0
uv	1	66248	70938	0.1203100559951872	2646	389967	3241350	0
bv	1	70938	75636	0.118644163547772	2601	378027	3186225	0
uv	1	70938	75636	0.1140355750143194	2601	363343	3186225	0
bv	1	75636	80468	0.122382103610675	2600	389787	3185000	0
uv	1	75636	80468	0.1213858712715855	2600	386614	3185000	0
bv	1	80468	85095	0.1181654118601082	2567	371580	3144575	0
uv	1	80468	85095	0.116380750975887	2567	365968	3144575	0
uv	1	85095	89880	0.1147042208696344	2565	360415	3142125	0
bv	1	85095	89880	0.1199309384572542	2565	376838	3142125	0
bv	1	89880	94547	0.1227124304267161	2640	396852	3234000	0
uv	1	89880	94547	0.1196598639455782	2640	386980	3234000	0
bv	1	94547	99215	0.1186320931980458	2661	386708	3259725	0
