pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
bv	1	1	1501	0.1167377191766144	1619	231523	1983275	0
uv	1	1	1501	0.1106245982024681	1619	219399	1983275	0
bv	1	1501	3107	0.1196945549493182	1657	242959	2029825	0
uv	1	1501	3107	0.1163627406303499	1657	236196	2029825	0
bv	1	3107	4659	0.1239960500329163	1612	244855	1974700	0
uv	1	3107	4659	0.1196688104522206	1612	236310	1974700	0
bv	1	4659	6178	0.1197232283366222	1634	239644	2001650	0
uv	1	4659	6178	0.1165448504983388	1634	233282	2001650	0
bv	1	6178	7767	0.1262953911047701	1645	254501	2015125	0
uv	1	6178	7767	0.1229303393089758	1645	247720	2015125	0
bv	1	7767	9272	0.1273825183848861	1629	254195	1995525	0
uv	1	7767	9272	0.1241678255095776	1629	247780	1995525	0
bv	1	9272	10807	0.1136643848762075	1595	222086	1953875	0
uv	1	9272	10807	0.1092352376687352	1595	213432	1953875	0
uv	1	10807	12356	0.115550068798786	1587	224638	1944075	0
bv	1	10807	12356	0.118914136543086	1587	231178	1944075	0
bv	1	12356	13887	0.1232775357333944	1602	241926	1962450	0
uv	1	12356	13887	0.1218701113404163	1602	239164	1962450	0
bv	1	13887	15429	0.1193901710216797	1605	234736	1966125	0
uv	1	13887	15429	0.1142938521202873	1605	224716	1966125	0
bv	1	15429	16948	0.1267494467666584	1660	257745	2033500	0
uv	1	15429	16948	0.1157890336857634	1660	235457	2033500	0
bv	1	16948	18474	0.1205905556753465	1609	237687	1971025	0
uv	1	16948	18474	0.115418627363935	1609	227493	1971025	0
bv	1	18474	20003	0.1238794418323228	1619	245687	1983275	0
uv	1	18474	20003	0.1177471606307748	1619	233525	1983275	0
bv	1	20003	21600	0.1253308671907219	1633	250715	2000425	0
uv	1	20003	21600	0.1179699313895797	1633	235990	2000425	0
uv	1	21600	23175	0.1177259475218659	1610	232185	1972250	0
bv	1	21600	23175	0.1216012168842692	1610	239828	1972250	0
uv	1	23175	24693	0.1197195288687079	1627	238610	1993075	0
bv	1	23175	24693	0.12209776350614	1627	243350	1993075	0
bv	1	24693	26217	0.1179668176497531	1604	231793	1964900	0
