pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
bv	uv	1	1	4764	0.1159430975143403	2615	757978	6537500	0
bv	uv	1	4764	9552	0.1213966833783262	2593	786954	6482500	0
bv	uv	1	9552	14297	0.1228354702495201	2605	799966	6512500	0
bv	uv	1	14297	19018	0.1208190916089299	2598	784720	6495000	0
bv	uv	1	19018	23694	0.1169201977938379	2629	768458	6572500	0
bv	uv	1	23694	28407	0.1202196258113783	2619	787138	6547500	0
bv	uv	1	28407	33146	0.1249646078059871	2639	824454	6597500	0
bv	uv	1	33146	37800	0.1212438786971171	2671	809606	6677500	0
bv	uv	1	37800	42376	0.1192647191011236	2670	796092	6675000	0
bv	uv	1	42376	47099	0.1180593448940269	2595	765910	6487500	0
bv	uv	1	47099	51865	0.1191357306809487	2614	778552	6535000	0
bv	uv	1	51865	56679	0.124302969533359	2593	805794	6482500	0
bv	uv	1	56679	61493	0.1250848554913294	2595	811488	6487500	0
bv	uv	1	61493	66248	0.1272571648098348	2603	828126	6507500	0
bv	uv	1	66248	70938	0.1238935752078609	2646	819556	6615000	0
bv	uv	1	70938	75636	0.1184990388312187	2601	770540	6502500	0
bv	uv	1	75636	80468	0.1234821538461538	2600	802634	6500000	0
bv	uv	1	80468	85095	0.1197220101285547	2567	768316	6417500	0
bv	uv	1	85095	89880	0.1195527485380116	2565	766632	6412500	0
bv	uv	1	89880	94547	0.1234327272727272	2640	814656	6600000	0
bv	uv	1	94547	99215	0.1179499436302142	2661	784662	6652500	0
bv	uv	1	99215	103855	0.1176241037376048	2622	771026	6555000	0
bv	uv	1	103855	108589	0.1235382631778536	2637	814426	6592500	0
bv	uv	1	108589	113291	0.1172390243902439	2624	769088	6560000	0
bv	uv	1	113291	118044	0.1238764525993883	2616	810152	6540000	0
bv	uv	1	118044	122876	0.1134507899807321	2595	736012	6487500	0
bv	uv	1	122876	127541	0.1246820333721381	2577	803264	6442500	0
bv	uv	1	127541	132308	0.1198092879256965	2584	773968	6460000	0
bv	uv	1	132308	137137	0.124612858249419	2582	804376	6455000	0
bv	uv	1	137137	141934	0.121678497508624	2609	793648	6522500	0
bv	uv	1	141934	146700	0.1223413726250484	2579	788796	6447500	0
bv	uv	1	146700	151495	0.1227198138813493	2579	791236	6447500	0
bv	uv	1	151495	156316	0.1193481593927893	2635	786206	6587500	0
bv	uv	1	156316	161084	0.1219561493123772	2545	775946	6362500	0
bv	uv	1	161084	165881	0.1246896443923407	2559	797702	6397500	0
bv	uv	1	165881	170656	0.116860625	2560	747908	6400000	0
bv	uv	1	170656	175318	0.1158229078287697	2593	750822	6482500	0
bv	uv	1	175318	180048	0.1222124031007751	2580	788270	6450000	0
bv	uv	1	180048	184722	0.1195995382839553	2599	777098	6497500	0
bv	uv	1	184722	189480	0.1211091743119266	2616	792054	6540000	0
bv	uv	1	189480	194265	0.1238846153846153	2600	805250	6500000	0
bv	uv	1	194265	199003	0.1217043478260869	2599	790774	6497500	0
bv	uv	1	199003	203712	0.1180939512961508	2546	751668	6365000	0
bv	uv	1	203712	208554	0.1154467986030267	2577	743766	6442500	0
bv	uv	1	208554	213304	0.1224037151702786	2584	790728	6460000	0
bv	uv	1	213304	218122	0.1164124223602484	2576	749696	6440000	0
bv	uv	1	218122	222846	0.1192546641074856	2605	776646	6512500	0
bv	uv	1	222846	227488	0.116326555856204	2587	752342	6467500	0
bv	uv	1	227488	232230	0.1211086973034561	2633	797198	6582500	0
bv	uv	1	232230	237010	0.1260608424336973	2564	808050	6410000	0
bv	uv	1	237010	241970	0.1149516390281527	2593	745174	6482500	0
bv	uv	1	241970	246816	0.1142868127643214	2601	743150	6502500	0
bv	uv	1	246816	251628	0.1171996867658574	2554	748320	6385000	0
bv	uv	1	251628	256232	0.1195115531752104	2614	781008	6535000	0
bv	uv	1	256232	261197	0.1201936030828516	2595	779756	6487500	0
bv	uv	1	261197	266004	0.121525394990366	2595	788396	6487500	0
bv	uv	1	266004	270719	0.1245765601217656	2628	818468	6570000	0
bv	uv	1	270719	275596	0.1241071012805588	2577	799560	6442500	0
bv	uv	1	275596	280367	0.1190041650294695	2545	757164	6362500	0
bv	uv	1	280367	285286	0.1200231884057971	2622	786752	6555000	0
bv	uv	1	285286	289960	0.1220689655172413	2610	796500	6525000	0
bv	uv	1	289960	294597	0.12262289483896	2577	789998	6442500	0
bv	uv	1	294597	299252	0.1256438779451525	2589	813230	6472500	0
